id,A,B,C,D,E,F,G,H,I,J
TEST_00000,1,1,1,1,1,1,1,1,1,1
TEST_00001,1,1,1,1,1,1,1,1,1,1
TEST_00002,1,1,1,1,1,1,1,1,1,1
TEST_00003,1,1,1,1,1,1,1,1,1,1
TEST_00004,1,1,1,1,1,1,1,1,1,1
TEST_00005,1,1,1,1,1,1,1,1,1,1
TEST_00006,1,1,1,1,1,1,1,1,1,1
TEST_00007,1,1,1,1,1,1,1,1,1,1
TEST_00008,1,1,1,1,1,1,1,1,1,1
TEST_00009,1,1,1,1,1,1,1,1,1,1
TEST_00010,1,1,1,1,1,1,1,1,1,1
TEST_00011,1,1,1,1,1,1,1,1,1,1
TEST_00012,1,1,1,1,1,1,1,1,1,1
TEST_00013,1,1,1,1,1,1,1,1,1,1
TEST_00014,1,1,1,1,1,1,1,1,1,1
TEST_00015,1,1,1,1,1,1,1,1,1,1
TEST_00016,1,1,1,1,1,1,1,1,1,1
TEST_00017,1,1,1,1,1,1,1,1,1,1
TEST_00018,1,1,1,1,1,1,1,1,1,1
TEST_00019,1,1,1,1,1,1,1,1,1,1
TEST_00020,1,1,1,1,1,1,1,1,1,1
TEST_00021,1,1,1,1,1,1,1,1,1,1
TEST_00022,1,1,1,1,1,1,1,1,1,1
TEST_00023,1,1,1,1,1,1,1,1,1,1
TEST_00024,1,1,1,1,1,1,1,1,1,1
TEST_00025,1,1,1,1,1,1,1,1,1,1
TEST_00026,1,1,1,1,1,1,1,1,1,1
TEST_00027,1,1,1,1,1,1,1,1,1,1
TEST_00028,1,1,1,1,1,1,1,1,1,1
TEST_00029,1,1,1,1,1,1,1,1,1,1
TEST_00030,1,1,1,1,1,1,1,1,1,1
TEST_00031,1,1,1,1,1,1,1,1,1,1
TEST_00032,1,1,1,1,1,1,1,1,1,1
TEST_00033,1,1,1,1,1,1,1,1,1,1
TEST_00034,1,1,1,1,1,1,1,1,1,1
TEST_00035,1,1,1,1,1,1,1,1,1,1
TEST_00036,1,1,1,1,1,1,1,1,1,1
TEST_00037,1,1,1,1,1,1,1,1,1,1
TEST_00038,1,1,1,1,1,1,1,1,1,1
TEST_00039,1,1,1,1,1,1,1,1,1,1
TEST_00040,1,1,1,1,1,1,1,1,1,1
TEST_00041,1,1,1,1,1,1,1,1,1,1
TEST_00042,1,1,1,1,1,1,1,1,1,1
TEST_00043,1,1,1,1,1,1,1,1,1,1
TEST_00044,1,1,1,1,1,1,1,1,1,1
TEST_00045,1,1,1,1,1,1,1,1,1,1
TEST_00046,1,1,1,1,1,1,1,1,1,1
TEST_00047,1,1,1,1,1,1,1,1,1,1
TEST_00048,1,1,1,1,1,1,1,1,1,1
TEST_00049,1,1,1,1,1,1,1,1,1,1
TEST_00050,1,1,1,1,1,1,1,1,1,1
TEST_00051,1,1,1,1,1,1,1,1,1,1
TEST_00052,1,1,1,1,1,1,1,1,1,1
TEST_00053,1,1,1,1,1,1,1,1,1,1
TEST_00054,1,1,1,1,1,1,1,1,1,1
TEST_00055,1,1,1,1,1,1,1,1,1,1
TEST_00056,1,1,1,1,1,1,1,1,1,1
TEST_00057,1,1,1,1,1,1,1,1,1,1
TEST_00058,1,1,1,1,1,1,1,1,1,1
TEST_00059,1,1,1,1,1,1,1,1,1,1
TEST_00060,1,1,1,1,1,1,1,1,1,1
TEST_00061,1,1,1,1,1,1,1,1,1,1
TEST_00062,1,1,1,1,1,1,1,1,1,1
TEST_00063,1,1,1,1,1,1,1,1,1,1
TEST_00064,1,1,1,1,1,1,1,1,1,1
TEST_00065,1,1,1,1,1,1,1,1,1,1
