id,A,B,C,D,E,F,G,H,I,J
TEST_00000,0,1,0,0,0,0,0,0,1,0
TEST_00001,1,0,0,1,1,1,0,0,0,0
TEST_00002,1,0,0,1,1,1,0,1,1,1
TEST_00003,0,1,1,0,1,1,0,0,1,0
TEST_00004,0,1,0,1,1,0,0,0,0,0
TEST_00005,0,1,1,1,0,0,0,1,1,0
TEST_00006,0,1,1,1,0,1,0,1,0,1
TEST_00007,1,0,1,1,1,1,1,0,0,1
TEST_00008,0,1,1,1,1,0,0,0,0,1
TEST_00009,1,0,0,0,1,0,1,0,0,0
TEST_00010,1,0,1,0,1,0,0,0,1,0
TEST_00011,0,0,1,1,1,0,0,0,0,0
TEST_00012,1,1,1,1,1,0,0,0,1,1
TEST_00013,0,0,1,0,0,1,0,0,0,0
TEST_00014,1,0,1,0,1,0,0,0,1,0
TEST_00015,0,1,0,0,0,0,0,0,1,0
TEST_00016,0,0,0,1,1,0,0,0,0,1
TEST_00017,1,1,1,1,1,0,0,1,0,1
TEST_00018,0,0,0,1,1,0,0,0,0,0
TEST_00019,1,0,1,0,1,1,0,1,0,0
TEST_00020,1,0,1,0,1,0,0,0,1,0
TEST_00021,1,0,1,0,1,1,1,0,0,1
TEST_00022,0,0,0,1,1,0,0,0,0,0
TEST_00023,1,0,1,1,0,1,1,0,0,0
TEST_00024,0,0,1,1,0,0,0,0,0,0
TEST_00025,0,1,0,1,0,0,0,0,0,1
TEST_00026,1,0,0,1,0,0,0,1,0,0
TEST_00027,0,1,1,0,0,1,0,1,1,1
TEST_00028,0,1,0,0,1,0,1,0,0,0
TEST_00029,0,1,0,1,1,1,1,1,0,0
TEST_00030,1,0,0,0,0,1,0,1,0,0
TEST_00031,0,0,1,0,1,0,1,1,0,0
TEST_00032,0,0,0,0,1,1,0,0,0,0
TEST_00033,0,0,1,0,0,0,0,1,0,0
TEST_00034,1,1,1,0,0,0,0,1,0,0
TEST_00035,0,1,0,1,0,1,0,0,1,0
TEST_00036,0,0,1,0,1,1,0,1,0,0
TEST_00037,0,1,0,0,1,0,0,0,1,1
TEST_00038,0,1,0,1,0,0,0,0,1,0
TEST_00039,0,0,1,1,0,1,0,1,0,1
TEST_00040,1,1,1,1,0,0,0,0,1,0
TEST_00041,1,0,0,0,0,1,0,0,1,0
TEST_00042,0,1,0,0,1,0,1,0,0,1
TEST_00043,0,1,0,0,0,1,0,0,0,0
TEST_00044,1,1,1,0,1,1,0,0,1,1
TEST_00045,1,1,0,1,0,0,0,0,0,1
TEST_00046,0,0,1,1,1,0,0,0,0,1
TEST_00047,0,1,0,1,0,0,1,1,0,1
TEST_00048,0,1,0,1,1,0,0,0,1,0
TEST_00049,0,1,1,0,0,0,0,0,0,0
TEST_00050,0,1,0,0,1,0,0,0,0,0
TEST_00051,0,0,0,0,0,0,0,0,1,0
TEST_00052,0,1,0,1,0,0,0,0,1,1
TEST_00053,0,0,0,0,1,1,0,0,0,1
