id,A,B,C,D,E,F,G,H,I,J
TEST_00000,0,1,0,0,0,0,1,0,1,0
TEST_00001,0,1,0,0,1,1,0,0,0,0
TEST_00002,1,1,0,1,1,1,0,1,0,1
TEST_00003,1,0,0,0,1,1,0,1,1,0
TEST_00004,0,0,0,0,1,0,0,0,0,0
TEST_00005,1,1,1,1,0,0,0,1,1,0
TEST_00006,0,0,1,1,0,1,0,1,1,1
TEST_00007,1,0,1,1,0,1,1,0,0,1
TEST_00008,1,0,1,1,1,1,0,0,0,1
TEST_00009,1,0,0,0,1,0,1,0,0,0
TEST_00010,0,0,0,0,1,0,0,0,1,1
TEST_00011,0,0,1,1,1,0,1,0,0,0
TEST_00012,1,1,1,1,0,0,1,0,1,1
TEST_00013,0,1,1,0,0,1,0,0,0,0
TEST_00014,1,1,1,0,1,0,0,0,1,0
TEST_00015,0,1,0,0,0,0,0,0,1,0
TEST_00016,0,0,0,1,1,0,0,0,0,1
TEST_00017,1,0,1,1,0,0,1,1,0,1
TEST_00018,1,1,0,1,1,0,1,0,1,0
TEST_00019,0,1,1,0,1,1,0,1,0,0
TEST_00020,1,0,0,0,1,0,0,0,1,0
TEST_00021,1,1,1,0,1,0,1,0,0,1
TEST_00022,0,1,0,1,1,0,0,0,0,0
TEST_00023,0,1,1,1,0,1,0,0,0,0
TEST_00024,0,1,1,1,0,0,0,0,0,0
TEST_00025,1,0,1,1,1,1,0,0,0,0
TEST_00026,1,0,0,1,0,0,0,1,0,0
TEST_00027,0,1,1,0,0,1,0,1,1,1
TEST_00028,0,1,0,0,1,0,1,0,0,0
TEST_00029,1,0,0,1,1,1,0,1,0,0
TEST_00030,1,0,0,0,0,1,0,1,1,0
TEST_00031,0,0,1,0,1,0,1,1,0,0
TEST_00032,0,0,0,0,1,1,0,0,0,0
TEST_00033,0,0,1,0,0,0,0,1,0,0
TEST_00034,0,0,1,0,1,1,0,1,0,0
TEST_00035,1,0,0,1,0,1,0,0,1,0
TEST_00036,0,1,1,0,1,1,0,1,1,0
TEST_00037,0,0,0,0,1,0,0,1,1,1
TEST_00038,1,1,1,1,1,1,1,0,0,0
TEST_00039,1,0,1,0,1,1,0,1,0,1
TEST_00040,1,1,0,1,1,0,1,0,1,0
TEST_00041,1,0,0,0,0,1,0,0,1,0
TEST_00042,1,1,0,0,1,0,1,1,0,1
TEST_00043,0,1,0,0,0,1,1,0,0,0
TEST_00044,1,0,0,0,1,1,0,0,1,1
TEST_00045,0,1,0,1,0,0,0,0,0,1
TEST_00046,0,0,1,1,1,0,0,0,0,1
TEST_00047,1,0,1,1,1,0,0,1,0,0
TEST_00048,1,1,0,0,1,0,0,0,1,0
TEST_00049,0,1,1,0,0,0,0,0,0,0
TEST_00050,0,1,0,0,1,0,0,0,1,0
TEST_00051,0,0,0,0,0,0,0,0,1,0
TEST_00052,0,0,0,1,0,0,1,0,1,1
TEST_00053,0,0,0,0,1,1,0,0,0,1
TEST_00054,0,1,1,1,0,1,1,0,1,1
TEST_00055,1,0,1,1,0,1,0,0,0,0
TEST_00056,0,0,0,0,1,0,0,1,0,0
TEST_00057,1,0,0,0,1,0,1,1,0,1
TEST_00058,1,0,1,0,1,0,1,1,1,0
TEST_00059,0,1,1,1,0,0,0,0,0,0
TEST_00060,1,1,1,1,1,1,0,1,1,0
TEST_00061,1,0,1,0,1,1,0,1,0,1
TEST_00062,0,0,1,1,1,0,0,0,0,0
TEST_00063,0,1,0,0,1,1,1,0,0,0
TEST_00064,0,0,0,1,0,0,1,0,1,0
TEST_00065,0,0,1,0,1,0,0,0,0,0
TEST_00066,0,0,1,0,1,0,1,1,1,0
TEST_00067,1,0,1,0,1,1,0,1,0,1
TEST_00068,0,1,0,1,0,1,0,0,0,0
TEST_00069,0,1,1,0,0,1,1,0,0,1
TEST_00070,1,1,0,0,0,0,0,0,0,0
TEST_00071,0,1,0,0,0,0,0,0,1,0
TEST_00072,1,0,0,0,0,0,1,1,1,0
TEST_00073,0,1,0,0,0,1,1,0,0,1
TEST_00074,0,0,1,0,1,1,0,1,0,1
TEST_00075,1,1,0,0,0,1,1,1,0,1
TEST_00076,0,0,0,1,0,1,0,1,0,1
TEST_00077,1,0,0,0,0,1,1,1,1,1
TEST_00078,0,0,1,0,0,0,1,0,1,0
TEST_00079,0,0,1,0,1,0,1,0,0,0
TEST_00080,0,0,1,1,0,1,0,0,1,1
TEST_00081,0,1,0,0,0,0,0,0,0,1
TEST_00082,1,1,0,1,0,0,0,1,0,0
TEST_00083,1,0,1,1,1,1,0,0,1,0
TEST_00084,1,0,0,0,0,0,0,0,0,0
TEST_00085,1,0,1,1,0,1,0,0,0,0
TEST_00086,1,0,1,0,1,0,0,0,1,1
TEST_00087,0,0,0,0,1,1,1,0,0,0
TEST_00088,0,0,0,1,0,1,1,0,1,1
TEST_00089,1,1,1,0,1,1,0,1,0,1
TEST_00090,1,1,0,0,1,0,0,0,0,1
TEST_00091,0,0,1,0,0,0,0,0,0,0
TEST_00092,0,0,1,0,1,0,1,0,0,1
TEST_00093,1,1,0,0,0,0,0,0,1,0
TEST_00094,1,1,1,0,1,1,1,1,1,1
TEST_00095,1,0,1,0,0,1,1,0,0,1
TEST_00096,0,0,0,0,1,1,0,1,1,1
TEST_00097,1,0,1,1,0,1,0,0,1,1
TEST_00098,0,1,1,1,1,0,0,0,1,1
TEST_00099,0,0,0,0,1,0,0,1,0,1
TEST_00100,0,1,1,0,1,1,1,1,1,0
TEST_00101,0,0,1,1,0,1,0,1,1,1
TEST_00102,1,0,1,0,1,1,1,0,0,0
TEST_00103,0,0,0,1,1,1,0,0,0,0
TEST_00104,1,1,1,0,1,0,0,0,1,1
TEST_00105,0,0,0,1,1,1,0,1,0,1
TEST_00106,1,0,1,0,1,0,1,1,1,0
TEST_00107,0,1,1,1,1,0,0,1,0,1
TEST_00108,1,1,1,1,1,0,1,1,1,0
TEST_00109,1,1,0,0,1,1,1,0,0,0
TEST_00110,0,0,1,1,1,0,0,1,1,0
TEST_00111,1,0,1,1,0,0,0,0,1,0
TEST_00112,0,0,1,1,1,0,0,1,1,0
TEST_00113,0,1,1,0,0,1,0,1,1,1
TEST_00114,0,0,0,0,0,1,1,0,0,0
TEST_00115,1,0,0,1,1,1,1,1,1,1
TEST_00116,1,0,0,1,1,0,0,1,0,1
TEST_00117,0,0,1,0,1,0,0,0,1,0
TEST_00118,0,0,0,1,0,0,1,1,0,0
TEST_00119,1,1,1,0,1,1,0,0,0,1
TEST_00120,1,0,0,0,1,1,0,1,0,0
TEST_00121,1,1,0,1,1,1,0,1,0,0
TEST_00122,0,0,1,0,0,0,0,0,0,1
TEST_00123,1,0,0,0,0,1,0,0,1,0
TEST_00124,1,0,1,1,0,0,1,0,0,0
TEST_00125,0,0,1,1,1,1,1,1,1,0
TEST_00126,1,1,0,0,1,0,0,0,0,1
TEST_00127,1,0,1,1,1,0,0,1,1,0
TEST_00128,0,0,0,0,0,0,0,1,1,0
TEST_00129,1,0,1,1,1,1,1,1,0,1
TEST_00130,1,0,1,0,0,1,0,0,1,0
TEST_00131,1,0,1,0,1,0,1,1,0,0
TEST_00132,1,1,0,0,0,0,0,1,1,0
TEST_00133,1,1,1,0,1,0,0,0,1,0
TEST_00134,1,0,0,0,1,0,1,1,1,1
TEST_00135,1,1,0,0,1,0,1,0,1,1
TEST_00136,1,0,1,0,1,0,0,1,1,0
TEST_00137,0,0,0,0,0,1,0,1,0,0
TEST_00138,0,1,1,0,0,0,0,0,1,0
TEST_00139,0,0,0,1,0,0,1,0,0,0
TEST_00140,1,0,0,1,1,0,0,0,1,0
TEST_00141,1,1,0,0,1,1,1,1,1,0
TEST_00142,0,0,0,0,0,1,0,1,1,0
TEST_00143,0,0,0,0,1,1,0,0,0,0
TEST_00144,1,0,0,0,1,0,1,0,0,0
TEST_00145,1,0,0,1,0,0,1,0,0,1
TEST_00146,1,0,1,0,0,0,0,1,1,1
TEST_00147,0,1,0,0,0,0,0,1,0,1
TEST_00148,0,0,0,0,0,0,1,1,1,0
TEST_00149,1,1,1,0,0,0,0,0,0,0
TEST_00150,1,0,1,1,0,0,0,1,0,0
TEST_00151,0,0,0,1,0,1,1,1,1,0
TEST_00152,1,1,0,0,0,0,1,1,0,0
TEST_00153,1,0,1,1,0,0,0,1,0,1
TEST_00154,1,0,1,0,1,0,0,1,1,1
TEST_00155,1,0,1,0,1,0,0,0,0,1
TEST_00156,1,1,1,0,1,0,0,0,1,1
TEST_00157,0,0,0,1,0,1,0,1,0,1
TEST_00158,1,0,1,0,1,0,1,1,1,1
TEST_00159,0,0,1,1,0,0,1,1,0,0
TEST_00160,0,0,1,1,0,0,0,0,0,0
TEST_00161,0,0,1,1,0,0,0,0,0,1
TEST_00162,0,0,1,0,0,1,0,0,0,0
TEST_00163,1,0,1,0,1,0,0,1,1,0
TEST_00164,0,0,1,0,0,0,0,1,0,0
TEST_00165,1,1,0,1,0,0,0,0,1,0
TEST_00166,0,0,0,0,0,1,0,1,0,0
TEST_00167,0,1,0,0,0,0,0,1,0,0
TEST_00168,0,0,0,1,1,0,0,0,0,0
TEST_00169,0,0,1,0,0,1,0,0,0,1
TEST_00170,1,1,0,1,0,1,0,1,1,0
TEST_00171,0,1,0,1,0,1,0,1,0,0
TEST_00172,0,0,0,0,0,0,1,0,1,0
TEST_00173,0,1,0,0,0,1,0,0,0,0
TEST_00174,0,0,0,1,0,0,0,0,0,0
TEST_00175,0,1,0,0,1,0,1,1,0,0
TEST_00176,0,0,0,0,1,0,0,0,0,1
TEST_00177,1,0,1,1,0,0,1,0,0,0
TEST_00178,0,1,1,1,1,1,0,0,0,0
TEST_00179,0,1,0,0,1,0,0,0,0,0
TEST_00180,1,0,0,1,1,0,1,0,1,0
TEST_00181,0,1,1,0,0,0,0,0,0,1
TEST_00182,1,1,0,1,0,1,0,1,1,0
TEST_00183,0,0,0,1,0,0,0,1,0,0
TEST_00184,0,0,0,0,0,1,1,0,0,1
TEST_00185,0,1,0,0,0,0,1,1,0,0
TEST_00186,0,0,0,0,1,1,0,0,0,1
TEST_00187,1,1,1,0,0,1,0,1,1,1
TEST_00188,0,1,0,1,0,1,0,0,0,0
TEST_00189,0,0,0,0,0,0,0,1,0,1
TEST_00190,0,1,0,1,1,0,0,0,0,1
TEST_00191,1,0,1,0,1,0,1,1,1,1
TEST_00192,1,1,0,1,1,0,0,1,1,0
TEST_00193,0,1,0,1,0,0,0,0,0,0
TEST_00194,1,0,1,0,0,0,1,1,0,0
TEST_00195,0,0,1,0,1,0,0,1,1,0
TEST_00196,0,0,1,0,1,1,0,1,0,0
TEST_00197,1,1,1,1,1,1,0,0,0,1
TEST_00198,0,1,0,0,0,0,1,0,0,1
TEST_00199,1,1,1,0,1,0,1,1,0,1
TEST_00200,1,1,0,1,1,1,0,1,0,1
TEST_00201,1,0,0,0,1,1,1,1,0,0
TEST_00202,1,1,0,1,0,0,1,1,1,0
TEST_00203,0,1,1,0,1,1,0,0,0,0
TEST_00204,0,0,0,1,0,1,1,1,0,0
TEST_00205,0,0,0,1,0,1,0,0,0,1
TEST_00206,0,0,0,1,0,1,0,0,1,0
TEST_00207,0,0,1,0,0,1,0,1,0,0
TEST_00208,0,0,1,0,0,0,1,0,1,0
TEST_00209,1,1,0,0,0,1,0,0,1,1
TEST_00210,0,1,0,0,1,0,1,0,1,1
TEST_00211,1,1,1,1,1,1,1,1,0,0
TEST_00212,0,0,0,0,1,0,0,0,1,0
TEST_00213,0,0,0,0,0,0,0,0,0,1
TEST_00214,1,1,1,0,1,1,0,0,0,1
TEST_00215,1,0,0,0,1,0,0,0,0,1
